proto=udp,duration,orig_bytes,resp_bytes,conn_state=SF,conn_state=S0,conn_state=OTH,conn_state=S1,missed_bytes,history=ShADadttfF,history=S,history=ShADadtfF,history=Dd,history=D,history=DdA,history=DdAaFf,history=ShADda,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label
0,1.686784,149,171750,1,0,0,0,11584,1,0,0,0,0,0,0,0,122,7741,122,178102,1
0,3.081233,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,180,0,0,1
0,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,1,60,0,0,1
0,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,1,60,0,0,1
0,1.847943,149,171878,1,0,0,0,4344,1,0,0,0,0,0,0,0,102,6485,121,178178,1
0,1.500886,152,129941,1,0,0,0,20272,0,0,1,0,0,0,0,0,83,4696,94,136285,1
0,3.132963,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,180,0,0,1
0,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,1,60,0,0,1
0,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,1,60,0,0,1
0,1.590348,149,141272,1,0,0,0,2896,1,0,0,0,0,0,0,0,102,6781,101,146532,1
0,1.775238,149,164489,1,0,0,0,13032,1,0,0,0,0,0,0,0,111,6985,118,172081,1
0,1.445668,149,125486,1,0,0,0,8688,1,0,0,0,0,0,0,0,88,5757,90,130174,1
0,3.155701,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,180,0,0,1
1,0.007489,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
0,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,1,60,0,0,1
1,0.100693,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
0,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,1,60,0,0,1
0,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,1,60,0,0,1
1,0.005247,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.002245,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.010509,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
0,1.185313,149,137844,1,0,0,0,1448,1,0,0,0,0,0,0,0,99,6625,99,143000,1
0,1.43868,148,121390,1,0,0,0,17376,1,0,0,0,0,0,0,0,92,5604,92,133422,1
0,3.139203,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,180,0,0,1
1,0.061956,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
0,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,1,60,0,0,1
1,0.100697,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
0,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,1,60,0,0,1
0,1.531888,149,139570,1,0,0,0,10136,1,0,0,0,0,0,0,0,100,6581,99,144726,1
0,1.612322,147,152039,1,0,0,0,11584,1,0,0,0,0,0,0,0,103,6303,108,157663,1
1,0.031973,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
0,2.295936,150,149980,1,0,0,0,2896,1,0,0,0,0,0,0,0,108,7058,107,155552,1
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,0.033738,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.024729,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,0.126928,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.029232,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,0.006994,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.024989,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,0.156911,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.0055,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.005243,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
0,180.2964,256,29096,0,0,1,0,0,0,0,0,0,0,1,0,0,214,11384,213,40172,0
1,0.007243,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.001997,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.104188,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.089698,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.007988,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.09245,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.047472,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.185144,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.017984,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,0.00725,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.002234,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
0,5.743725,872,1616,1,0,0,0,0,0,0,0,0,0,0,1,0,46,3264,25,2916,0
1,0.111444,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.004995,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.005245,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.020984,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.031724,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.100691,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,0.037976,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,0.006995,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.008247,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.112925,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,0.006742,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,0.007993,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.001998,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.102197,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,0.005237,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.005484,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.066962,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.033729,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.118189,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,0.019237,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,0.007229,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.001997,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.100693,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,0.004994,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,0.013245,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.03049,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.115684,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,0.008985,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.005514,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.007743,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.001988,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.103191,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.030979,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.005247,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,0.024231,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.001998,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.104188,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,0.012734,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,0.007495,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.005744,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.119688,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,0.005238,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,0.007235,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.002489,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.101196,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,0.005231,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.005479,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.016739,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.007988,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.100689,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,0.011243,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.006996,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.001998,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.102691,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,0.00499,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.005245,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.066211,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.008252,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.105945,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.030967,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,0.005244,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.038476,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.005503,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.110432,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,0.012236,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.007242,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.001996,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.10094,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,0.004995,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.00548,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.02374,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.006496,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.104438,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.011731,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.005493,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.006744,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.004232,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.100696,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,0.005251,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,0.015506,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.002246,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.103187,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.005246,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.007243,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.005488,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.001997,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.274839,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.03123,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.005231,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,0.100692,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.030997,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.005242,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,0.005489,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,0.002232,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,0.008491,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,0.001996,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,0.005246,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,0.008247,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.002243,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,0.100692,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,0.005486,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.007244,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.001982,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.005241,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.00549,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,0.014742,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.030732,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,0.00525,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,0.002746,48,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,76,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,300.802367,1744830458,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1305034,1781371410,0,0,1
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
0,6803.476778,639,627,0,0,0,1,0,0,0,0,0,0,0,0,1,337,18203,362,19519,1
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76,0,0,0
